Rank,Name,Price,MarketCap
610,Spell TokenSPELL,$0.0001701,"$29.18M$29,176,458"
611,Microsoft tokenized stock (xStock)MSFTX,$406.93,"$29M$29,002,238"
612,USDKUSDK,$1.01,"$29M$29,002,077"
613,iShares Silver Trust Tokenized ETF (Ondo)SLVon,$71.19,"$29M$28,997,473"
614,ArkhamARKM,$0.1288,"$29M$29,001,043"
615,IQIQ,$0.001115,"$28.97M$28,968,217"
701,OhoOHO,$0.0009656,"$23.3M$23,295,430"
702,tokenbotCLANKER,$23.51,"$23.19M$23,194,277"
703,AdsharesADS,$0.5974,"$23.15M$23,152,288"
704,NillionNIL,$0.05156,"$23.12M$23,122,448"
705,MiraMIRA,$0.08153,"$23.04M$23,037,028"
706,SynFuturesF,$0.005630,"$23.03M$23,031,675"
707,Isiklar CoinISIKC,$0.2301,"$23.01M$23,012,710"
708,NYMNYM,$0.02760,"$23.01M$23,007,750"
709,FiroFIRO,$1.23,"$22.95M$22,952,808"
710,DoodlesDOOD,$0.002940,"$22.94M$22,935,501"
711,FluentBLEND,$0.1143,"$22.88M$22,876,122"
712,OpenKaitoSN5,$6.56,"$22.85M$22,846,124"
713,AuraAURA,$0.02348,"$22.63M$22,626,284"
714,Ridges AISN62,$5.16,"$22.6M$22,598,326"
715,FLock.ioFLOCK,$0.06237,"$22.53M$22,525,026"
801,Folks FinanceFOLKS,$1.45,"$17.74M$17,736,839"
802,Chevron tokenized stock (xStock)CVXX,$186.67,"$17.69M$17,693,792"
803,StakeStoneSTO,$0.07828,"$17.64M$17,640,497"
804,ApertumAPTM,$0.1883,"$17.63M$17,633,406"
805,TARS AITAI,$0.01974,"$17.61M$17,612,574"
806,BonfidaFIDA,$0.01773,"$17.58M$17,575,420"
807,Vine CoinVINE,$0.01754,"$17.54M$17,540,348"
808,MoonbeamGLMR,$0.01596,"$17.51M$17,512,708"
809,UchainUCN,$350.17,"$17.51M$17,508,608"
810,OWBOWB,$0.03824,"$17.41M$17,408,275"
811,Faith TribeFTRB,$0.005252,"$17.33M$17,328,487"
812,USDBUSDB,$0.9981,"$17.32M$17,323,715"
813,SophonSOPH,$0.008611,"$17.22M$17,222,418"
814,CornCORN,$0.03275,"$17.2M$17,196,810"
815,Coca-Cola tokenized stock (xStock)KOX,$81.38,"$17.19M$17,190,975"
901,SanDisk Tokenized Stock (Ondo)SNDKon,"$1,314.98","$13.76M$13,757,646"
902,MarlinPOND,$0.001671,"$13.75M$13,750,952"
903,NamecoinNMC,$0.9312,"$13.72M$13,723,847"
904,StaderSD,$0.1927,"$13.63M$13,633,170"
905,Haedal ProtocolHAEDAL,$0.03416,"$13.52M$13,524,774"
906,Gains NetworkGNS,$0.5651,"$13.52M$13,519,771"
907,Oracle Tokenized Stock (Ondo)ORCLon,$192.27,"$13.5M$13,502,722"
908,Bone ShibaSwapBONE,$0.05862,"$13.48M$13,479,780"
909,YieldBasisYB,$0.1152,"$13.48M$13,478,094"
910,Vanar ChainVANRY,$0.005632,"$13.36M$13,357,502"
911,ResolvRESOLV,$0.03471,"$13.28M$13,284,308"
912,GoldfinchGFI,$0.1518,"$13.28M$13,277,796"
913,Unicorn Fart DustUFD,$0.01325,"$13.25M$13,253,398"
914,AlchemixALCX,$5.26,"$13.25M$13,245,470"
915,Argentine Football Association Fan TokenARG,$0.7252,"$13.24M$13,241,349"
1001,FC Porto Fan TokenPORTO,$0.8070,"$10.48M$10,482,601"
1002,TutorialTUT,$0.01251,"$10.46M$10,457,614"
1003,Epic ChainEPIC,$0.3109,"$10.45M$10,447,016"
1004,Make Aliens Great AgainMAGA,$0.01067,"$10.44M$10,438,445"
1005,FC Barcelona Fan TokenBAR,$0.4175,"$10.35M$10,353,716"
1006,RAMPRAMP,$0.02164,"$10.35M$10,345,038"
1007,BitlayerBTR,$0.03092,"$10.31M$10,305,221"
1008,Destra NetworkDSYNC,$0.01054,"$10.28M$10,276,235"
1009,XIONXION,$0.1449,"$10.27M$10,269,496"
1010,TG CasinoTGC,$0.1325,"$10.26M$10,256,486"
1011,Joe coinJOE,$0.01024,"$10.24M$10,243,804"
1012,Toko TokenTKO,$0.05937,"$10.07M$10,069,238"
1013,saffron.financeSFI,$110.07,"$10.06M$10,063,187"
1014,EVAA ProtocolEVAA,$0.5608,"$10.01M$10,013,797"
1015,OrchidOXT,$0.01077,"$10.74M$10,744,172"
1101,WeBuyWE,$0.02173,"$7.87M$7,868,008"
1102,EarthMetaEMT,$0.005471,"$7.87M$7,865,940"
1103,GrinGRIN,$0.03399,"$7.84M$7,839,934"
1104,Quickswap [New]QUICK,$0.01018,"$7.83M$7,833,701"
1105,SIX TokenSIX,$0.009188,"$7.82M$7,819,000"
1106,PortalPORTAL,$0.009873,"$7.81M$7,806,852"
1107,AKEDOAKE,$0.0003400,"$7.75M$7,752,430"
1108,Ski Mask DogSKI,$0.007824,"$7.74M$7,741,666"
1109,BFG TokenBFG,$0.006887,"$7.73M$7,733,253"
1110,Fwog (SOL)FWOG,$0.007920,"$7.73M$7,727,392"
1111,PayAI NetworkPAYAI,$0.007716,"$7.72M$7,716,147"
1112,Meta Platforms Tokenized Stock (Ondo)METAon,$611.84,"$7.72M$7,715,987"
1113,Taiwan Semiconductor Manufacturing Tokenized Stock (Ondo)TSMon,$410.25,"$7.71M$7,712,379"
1114,Neon EVMNEON,$0.03219,"$7.71M$7,709,622"
1115,NimiqNIM,$0.0005466,"$7.69M$7,694,204"
1201,KryllKRL,$0.1530,"$6.11M$6,105,382"
1202,PRIZMPZM,$0.001299,"$6.1M$6,104,979"
1203,Harvest FinanceFARM,$9.07,"$6.1M$6,099,704"
1204,RIZERIZE,$0.003081,"$6.08M$6,075,408"
1205,MonaCoinMONA,$0.09236,"$6.07M$6,071,407"
1206,Bull (bulltheleader)BULL,$0.005976,"$5.98M$5,975,928"
1207,Sui Name ServiceNS,$0.02078,"$6.06M$6,059,049"
1208,Manyu (manyushiba.com)MANYU,$0.086040,"$6.04M$6,040,383"
1209,Graphite ProtocolGP,$0.1731,"$6.03M$6,029,665"
1210,NEMXEM,$0.0006513,"$5.86M$5,862,096"
1211,KANKAN,$0.0006207,"$6.01M$6,014,369"
1212,GameStop (gamestop-coin.vip)GME,$0.00001461,"$6.01M$6,009,326"
1213,0x0.ai0x0,$0.006861,"$5.96M$5,959,442"
1214,NashNEX,$0.1345,"$5.95M$5,953,602"
1215,trac (Ordinals)TRAC,$0.2833,"$5.95M$5,949,891"
1301,MinimaMINIMA,$0.008686,"$4.81M$4,806,881"
1302,Partisia BlockchainMPC,$0.01224,"$4.79M$4,786,080"
1303,TectonicTONIC,$0.071924,"$4.77M$4,766,595"
1304,Star AtlasATLAS,$0.0001910,"$4.75M$4,746,487"
1305,375aiEAT,$0.02223,"$4.74M$4,739,765"
1306,OasysOAS,$0.0007015,"$4.73M$4,731,976"
1307,ShareXSHARE,$0.2623,"$4.72M$4,721,800"
1308,BTSE TokenBTSE,$1.08,"$4.72M$4,720,713"
1309,ObyteGBYTE,$5.02,"$4.69M$4,688,635"
1310,The Official 67 Coin67,$0.004627,"$4.63M$4,626,268"
1311,Pain (paintoken.com)PAIN,$0.9215,"$4.61M$4,607,409"
1312,SukuSUKU,$0.007689,"$4.6M$4,602,638"
1313,Marina ProtocolBAY,$0.02292,"$4.59M$4,585,545"
1314,Nietzschean PenguinPENGUIN,$0.004573,"$4.57M$4,573,069"
1315,Broccoli (firstbroccoli.com)BROCCOLI,$0.004556,"$4.56M$4,556,444"
1401,BlackFort Exchange NetworkBXN,$0.0007928,"$3.56M$3,559,450"
1402,KujiraKUJI,$0.02900,"$3.55M$3,548,273"
1403,AventusAVT,$0.5901,"$3.54M$3,541,051"
1404,Ondas Holdings Tokenized Stock (Ondo)ONDSon,$11.20,"$3.54M$3,538,732"
1405,CreatorBidBID,$0.009177,"$3.54M$3,537,534"
1406,Arm Holdings plc Tokenized Stock (Ondo)ARMon,$216.29,"$3.53M$3,527,518"
1407,BeatSwapBTX,$0.01568,"$3.53M$3,526,188"
1408,Pundi AIPUNDIAI,$0.4981,"$3.52M$3,515,663"
1409,ZERAZERA,$0.003646,"$3.51M$3,513,348"
1410,RenREN,$0.003535,"$3.51M$3,510,705"
1411,Fei USDFEI,$0.9955,"$3.5M$3,504,856"
1412,ValidityVAL,$0.6847,"$3.49M$3,492,991"
1413,ArowanaARW,$0.1521,"$3.49M$3,485,589"
1414,Freya ProtocolFREYA,$0.006353,"$3.49M$3,485,362"
1415,American CoinUSA,$0.063009,"$3.48M$3,479,192"
1501,IBStokenIBS,$0.0007117,"$2.86M$2,864,896"
1502,ASML Holding NV Tokenized Stock (Ondo)ASMLon,"$1,562.09","$2.86M$2,858,661"
1503,AlloRWA,$0.001576,"$2.84M$2,837,205"
1504,ReefREEF,$0.00007796,"$2.83M$2,833,821"
1505,ZygoSwapZSWAP,$0.002890,"$2.83M$2,829,961"
1506,HOSKY TokenHOSKY,$0.071240,"$2.83M$2,828,573"
1507,Verse WorldVERSE,$0.02819,"$2.82M$2,819,457"
1508,League of TradersLOT,$0.007662,"$2.8M$2,803,069"
1509,McDonald's Tokenized Stock (Ondo)MCDon,$279.00,"$2.8M$2,799,834"
1510,NUMINENUMI,$0.01339,"$2.8M$2,795,998"
1511,BORGYBORGY,$0.00003589,"$2.78M$2,784,296"
1512,DAOBaseBEE,$0.01601,"$2.78M$2,781,881"
1513,DecentrawoodDEOD,$0.005981,"$2.78M$2,777,770"
1514,DevveDEVVE,$0.02874,"$2.77M$2,772,516"
1515,Mayflower AIMAY,$0.006386,"$2.77M$2,767,629"
1601,GochujangcoinGOCHU,$0.062090,"$2.34M$2,336,290"
1602,AttilaATT,$0.0008342,"$2.32M$2,319,181"
1603,PsyopAnimePSYOPANIME,$0.002318,"$2.32M$2,317,978"
1604,Global X Copper Miners Tokenized ETF (Ondo)COPXon,$90.74,"$2.32M$2,315,941"
1605,QuantumCoinQ,$0.061264,"$2.31M$2,314,845"
1606,UranusURANUS,$0.02310,"$2.31M$2,310,266"
1607,Intuitive Machines Tokenized Stock (Ondo)LUNRon,$35.17,"$2.3M$2,297,552"
1608,SPACEM WORLDSPCM,$0.0002355,"$2.27M$2,274,709"
1609,SarosSAROS,$0.0007317,"$2.27M$2,274,124"
1610,XDB CHAINXDB,$0.0001315,"$2.26M$2,263,193"
1611,OpenAI tokenized stock (PreStocks)OPENAI,"$1,118.33","$2.24M$2,239,949"
1612,MILC PlatformMLT,$0.01793,"$2.23M$2,231,344"
1613,HathorHTR,$0.004282,"$2.21M$2,206,221"
1614,ServiceNow Tokenized Stock (Ondo)NOWon,$451.58,"$2.2M$2,204,561"
1615,NikolAINIKO,$0.002200,"$2.2M$2,200,274"
1701,NuNetNTX,$0.003620,"$1.83M$1,825,132"
1702,NetMind TokenNMT,$0.05448,"$1.82M$1,822,420"
1703,FluenceFLT,$0.006333,"$1.82M$1,816,565"
1704,Pipe NetworkPIPE,$0.01808,"$1.81M$1,808,655"
1705,VoxiesVOXEL,$0.007088,"$1.8M$1,803,939"
1706,TOPGOALGOAL,$0.003309,"$1.8M$1,799,449"
1707,Blockchain Foundation for Innovation & CollaborationBFIC,$0.1699,"$1.8M$1,797,744"
1708,AzitAZIT,$0.004177,"$1.8M$1,795,733"
1709,NibiruNIBI,$0.001808,"$1.79M$1,787,486"
1710,VerasityVRA,$0.00001913,"$1.78M$1,782,939"
1711,StellaALPHA,$0.001850,"$1.78M$1,778,303"
1712,SafeCoinSAFE,$0.06400,"$1.78M$1,775,219"
1713,MAGA (magamemecoin.com)TRUMP,$0.04020,"$1.77M$1,768,739"
1714,Broadcom tokenized stock (xStock)AVGOX,$435.86,"$1.77M$1,765,252"
1715,ByteBYTE,$0.051829,"$1.76M$1,764,264"
1801,Graphlinq ChainGLQ,$0.004276,"$1.45M$1,454,159"
1802,Roaring KittyROAR,$0.001453,"$1.45M$1,453,515"
1803,LumintLUMINT,$0.02637,"$1.45M$1,451,663"
1804,Super Micro Computer Tokenized Stock (Ondo)SMCIon,$32.17,"$1.44M$1,435,650"
1805,Owlto FinanceOWL,$0.004340,"$1.43M$1,432,209"
1806,UnitedHealth Tokenized Stock (Ondo)UNHon,$403.06,"$1.43M$1,429,627"
1807,Coherent Tokenized Stock (Ondo)COHRon,$389.92,"$1.43M$1,429,175"
1808,LATOKENLA,$0.003757,"$1.43M$1,428,408"
1809,XRP Healthcare AIXRPHAI,$0.01420,"$1.42M$1,420,539"
1810,VerseVERSE,$0.00002906,"$1.42M$1,420,001"
1811,BeBBEB1M,$0.001415,"$1.42M$1,415,319"
1812,General Electric Tokenized Stock (Ondo)GEon,$291.80,"$1.41M$1,414,005"
1813,BIDZ CoinBIDZ,$0.001662,"$1.41M$1,413,041"
1814,Cere NetworkCERE,$0.0002031,"$1.41M$1,410,013"
1815,GracyGRACY,$0.007412,"$1.41M$1,408,286"
1901,RangerRNGR,$0.1188,"$1.21M$1,211,523"
1902,Bitcoin 2BTC2,$0.06557,"$1.21M$1,209,216"
1903,RMRKRMRK,$0.1326,"$1.21M$1,205,752"
1904,JD.com Tokenized Stock (Ondo)JDon,$33.95,"$1.2M$1,204,131"
1905,memes will continuememes,$0.001202,"$1.2M$1,202,971"
1906,Financie TokenFNCT,$0.0003176,"$1.2M$1,197,302"
1907,DefactorREAL,$0.003989,"$1.19M$1,190,507"
1908,JMPT RewardsJMPT,$0.6295,"$1.19M$1,192,449"
1909,Abbott Tokenized Stock (Ondo)ABTon,$86.13,"$1.19M$1,187,014"
1910,AirSwapAST,$0.006800,"$1.19M$1,186,461"
1911,ArtyfactARTY,$0.06075,"$1.18M$1,183,511"
1912,币安HolderBNBHOLDER,$0.001182,"$1.18M$1,182,190"
1913,ARCARC,$0.001280,"$1.18M$1,181,818"
1914,SpectralSPEC,$0.08372,"$1.18M$1,180,899"
1915,WAGMI GamesWAGMIGAMES,$0.065352,"$1.18M$1,177,510"
2001,Brett (ETH)BRETT,$0.01381,"$959,051.92$959,052"
2002,Futu Holdings Tokenized Stock (Ondo)FUTUon,$141.11,"$956,995.86$956,996"
2003,AST SpaceMobile Tokenized Stock (Ondo)ASTSon,$79.32,"$954,558.9$954,559"
2004,Accenture Tokenized Stock (Ondo)ACNon,$167.26,"$949,657.12$949,657"
2005,CypherCYPR,$0.009972,"$945,709.17$945,709"
2006,Disney Tokenized Stock (Ondo)DISon,$106.49,"$941,738.81$941,739"
2007,iBoxx $ High Yield Corporate Bond Tokenized ETF (Ondo)HYGon,$82.88,"$941,258.76$941,259"
2008,老子老子,$0.0009411,"$941,115.49$941,115"
2009,PlayDappPDA,$0.001447,"$940,250.59$940,251"
2010,Matrix AI NetworkMAN,$0.001968,"$937,751.5$937,752"
2011,FunticoTICO,$0.0004396,"$937,371.97$937,372"
2012,错版马哭哭马,$0.0009290,"$929,039.19$929,039"
